doi,pmid,Field,has_blot,Include_Img,ExclReason_Img
10.1016/j.cub.2021.07.030,34358443.0,cellbio,False,,
10.1016/j.cub.2021.07.031,34358445.0,cellbio,False,,
10.1080/15548627.2021.1954457,34338142.0,cellbio,False,,
10.1186/s13287-021-02369-8,34332630.0,cellbio,False,,
10.1186/s13287-021-02479-3,34332643.0,cellbio,True,1.0,99.0
10.1007/s00018-021-03906-7,34333711.0,cellbio,False,,
10.1007/s13238-021-00864-5,34331666.0,cellbio,True,1.0,99.0
10.1038/s41419-021-04043-6,34330894.0,cellbio,True,1.0,99.0
10.1038/s41388-021-01967-3,34333552.0,cellbio,True,1.0,99.0
10.1038/s41419-021-04049-0,34333522.0,cellbio,False,,
10.1038/s41388-021-01959-3,34333551.0,cellbio,True,1.0,99.0
10.1038/s41419-021-04048-1,34333527.0,cellbio,True,1.0,99.0
10.1038/s41419-021-04040-9,34333526.0,cellbio,True,1.0,99.0
10.1016/j.molcel.2021.07.020,34375581.0,cellbio,True,0.0,22.0
10.1016/j.molcel.2021.07.021,34375582.0,cellbio,True,1.0,99.0
10.1016/j.stem.2021.07.004,34358441.0,cellbio,False,,
10.1016/j.molcel.2021.07.011,34352205.0,cellbio,False,,
10.1093/plcell/koab197,,cellbio,False,,
10.1038/s41388-021-01952-w,34331016.0,cellbio,True,0.0,23.0
10.1083/jcb.202105043,34328510.0,cellbio,False,,
10.1038/s41418-021-00829-5,34331026.0,cellbio,True,0.0,23.0
10.1038/s41388-021-01977-1,34331015.0,cellbio,False,,
10.1016/j.cub.2021.07.003,34331858.0,cellbio,False,,
10.1038/s41392-021-00624-1,34326309.0,cellbio,True,0.0,23.0
10.1038/s41392-021-00697-y,34330887.0,cellbio,False,,
10.1038/s41419-021-04026-7,34330893.0,cellbio,True,1.0,99.0
10.1111/acel.13412,34327802.0,cellbio,False,,
10.1038/s41388-021-01926-y,34331013.0,cellbio,True,1.0,99.0
10.1016/j.devcel.2021.07.003,34331868.0,cellbio,False,,
10.1016/j.devcel.2021.06.019,34331869.0,cellbio,True,1.0,99.0
10.1038/s41591-021-01469-5,34331051.0,cellbio,False,,
10.1038/s41388-021-01945-9,34331011.0,cellbio,True,1.0,99.0
10.15252/embr.202152878,34328245.0,cellbio,True,1.0,99.0
10.1038/s41419-021-04031-w,34330892.0,cellbio,False,,
10.1038/s41419-021-04041-8,34330891.0,cellbio,True,1.0,99.0
10.1038/s41388-021-01976-2,34326469.0,cellbio,False,,
10.1083/jcb.202103003,34328499.0,cellbio,True,1.0,99.0
10.1038/s41392-021-00709-x,34330889.0,cellbio,False,,
10.1038/s41388-021-01951-x,34331012.0,cellbio,True,1.0,99.0
10.15252/embr.202153251,34328708.0,cellbio,False,,
10.1111/acel.13446,34327811.0,cellbio,True,1.0,99.0
10.1038/s41388-021-01970-8,34331014.0,cellbio,True,1.0,99.0
10.1016/j.cub.2021.07.022,34388371.0,cellbio,False,,
10.1038/d41591-021-00049-x,34326543.0,cellbio,False,,
10.1016/j.stemcr.2021.07.003,34329597.0,cellbio,False,,
10.1016/j.cub.2021.07.004,34329591.0,cellbio,True,1.0,99.0
10.1016/j.stemcr.2021.07.001,34329594.0,cellbio,False,,
10.1016/j.cub.2021.06.080,34329590.0,cellbio,False,,
10.1016/j.stemcr.2021.07.004,34329595.0,cellbio,False,,
10.1093/plcell/koab195,,cellbio,False,,
10.1093/plcell/koab194,34323980.0,cellbio,True,1.0,99.0
10.1093/plcell/koab193,34323976.0,cellbio,False,,
10.1038/s41419-021-04039-2,34326320.0,cellbio,True,1.0,99.0
10.1016/j.stemcr.2021.06.016,34329598.0,cellbio,False,,
10.1038/s41419-021-04038-3,34326314.0,cellbio,True,1.0,99.0
10.1038/s41388-021-01953-9,34326468.0,cellbio,False,,
10.1016/j.ccell.2021.07.002,34329585.0,cellbio,False,,
10.1038/s41392-021-00705-1,34326313.0,cellbio,False,,
10.1038/s41591-021-01451-1,34326550.0,cellbio,False,,
10.1016/j.stemcr.2021.06.017,34329593.0,cellbio,True,1.0,99.0
